id,date,latitude,longitude,magnitude
19976,2010-03-03,-36.610,-73.360,6.1
19977,2010-03-03,-33.412,-71.868,5.8
19978,2010-03-04,22.918,120.795,6.3
19979,2010-03-04,-33.216,-72.125,6
19980,2010-03-04,-13.571,167.227,6.5
19981,2010-03-04,-22.227,-68.328,6.3
19982,2010-03-05,-36.631,-73.223,6.1
19983,2010-03-05,-36.665,-73.374,6.6
19984,2010-03-05,-3.762,100.991,6.8
19985,2010-03-06,-13.141,166.687,5.5
19986,2010-03-06,44.174,147.647,5.7
19987,2010-03-07,-16.236,-115.296,6.3
19988,2010-03-07,-37.990,-73.300,5.9
19989,2010-03-08,38.864,39.986,6.1
19990,2010-03-08,38.709,40.051,5.6
19991,2010-03-08,19.348,144.743,6.1
19992,2010-03-08,-25.712,-66.617,5.8
19993,2010-03-09,51.489,-173.531,5.8
19994,2010-03-10,-33.562,-72.298,5.6
19995,2010-03-11,-57.285,-27.931,5.6
19996,2010-03-11,-34.290,-71.891,6.9
19997,2010-03-11,-34.326,-71.799,7
19998,2010-03-11,-34.614,-71.990,5.6
19999,2010-03-11,-34.470,-72.004,6
20000,2010-03-11,-34.381,-71.979,5.6
20001,2010-03-12,-34.233,-71.917,5.8
20002,2010-03-12,23.062,94.623,5.5
20003,2010-03-13,2.192,133.020,5.9
20004,2010-03-13,-37.551,-73.465,5.8
20005,2010-03-13,37.594,141.299,5.6
20006,2010-03-13,1.323,97.171,5.8
20007,2010-03-14,-1.692,128.135,6.4
20008,2010-03-14,37.745,141.590,6.5
20009,2010-03-14,-38.502,-73.653,5.5
20010,2010-03-14,-38.526,-73.534,5.6
20011,2010-03-14,-2.746,83.703,5.8
20012,2010-03-14,-58.417,-23.567,5.6
20013,2010-03-15,-35.802,-73.158,6.2
20014,2010-03-16,-36.217,-73.257,6.7
20015,2010-03-16,-36.405,-73.074,5.9
20016,2010-03-16,52.139,142.204,5.8
20017,2010-03-18,-48.733,164.672,5.6
20018,2010-03-18,-23.318,-177.177,5.6
20019,2010-03-19,-35.541,-73.475,5.5
20020,2010-03-20,-3.361,152.245,6.6
20021,2010-03-20,19.674,-75.331,5.6
20022,2010-03-21,-36.344,-73.164,5.5
20023,2010-03-22,18.451,120.742,5.9
20024,2010-03-24,32.509,92.708,5.7
20025,2010-03-25,13.827,120.071,6
20026,2010-03-26,-6.326,130.284,5.7
20027,2010-03-26,-27.953,-70.821,6.3
20028,2010-03-28,-55.139,-128.373,5.7
20029,2010-03-28,-35.387,-73.385,6
20030,2010-03-28,-35.406,-72.897,5.6
20031,2010-03-30,43.308,138.379,5.7
20032,2010-03-30,13.667,92.831,6.6
20033,2010-04-01,-61.203,153.875,5.6
20034,2010-04-02,-36.227,-72.878,6
20035,2010-04-04,-17.194,-177.059,5.6
20036,2010-04-04,32.286,-115.295,7.2
20037,2010-04-04,32.099,-115.048,5.7
20038,2010-04-05,-0.183,125.009,6.2
20039,2010-04-05,-19.860,-68.842,5.8
20040,2010-04-06,2.383,97.048,7.8
20041,2010-04-07,-3.760,141.943,6
20042,2010-04-09,-28.559,-68.124,5.8
20043,2010-04-10,-41.081,-89.894,5.8
20044,2010-04-10,-25.680,-70.667,5.5
20045,2010-04-10,-20.114,-176.223,6
20046,2010-04-11,-12.973,166.523,5.8
20047,2010-04-11,-10.878,161.116,6.9
20048,2010-04-11,36.965,-3.542,6.3
20049,2010-04-12,-56.919,147.516,5.7
20050,2010-04-13,-56.331,-27.311,5.5
20051,2010-04-13,33.165,96.548,6.9
20052,2010-04-14,33.195,96.449,6.1
20053,2010-04-15,-13.451,-112.167,5.6
20054,2010-04-16,54.485,-161.039,5.7
20055,2010-04-16,-37.460,-73.732,5.7
20056,2010-04-16,-37.420,-73.669,5.7
20057,2010-04-17,11.678,-86.813,5.5
20058,2010-04-17,-6.669,147.291,6.2
20059,2010-04-18,-37.159,-73.753,5.6
20060,2010-04-18,14.514,-91.987,5.6
20061,2010-04-18,35.633,67.658,5.6
20062,2010-04-21,-15.271,-173.219,6.1
20063,2010-04-23,-37.529,-72.969,6
20064,2010-04-24,-1.912,128.122,6
20065,2010-04-25,-55.606,-27.730,5.6
20066,2010-04-26,22.180,123.623,6.5
20067,2010-04-27,-50.175,114.702,5.6
20068,2010-04-29,-51.021,139.394,5.8
20069,2010-04-30,60.473,-177.877,6.5
20070,2010-04-30,60.478,-177.650,6.3
20071,2010-05-02,-34.228,-71.877,5.9
20072,2010-05-03,29.645,140.951,6.1
20073,2010-05-03,52.612,-163.691,5.5
