YEAR,MONTH,DAY,COUNTRY,LATITUDE,LONGITUDE,DISTANCE_FROM_SOURCE,MAXIMUM_HEIGHT
1088,6,10,JAPAN,39.33,142,156,2
1096,12,17,JAPAN,34.7,138.2,101,
1096,12,17,JAPAN,34.62,137.11,78,7
1096,12,17,JAPAN,34.717,136.517,120,5
1096,12,17,JAPAN,34.98,138.4,137,
1096,12,17,JAPAN,34.69,136.54,117,
1099,2,22,JAPAN,33,135.5,0,
1099,11,11,UK,50.116,-5.483,0,
1106,3,,ITALY,45.373,12.344,15,
1112,6,20,ITALY,40.83,14.25,2,
1169,2,4,ITALY,38.18,15.562,108,
1169,2,11,ITALY,,,,
1172,,,ITALY,38,15,0,
1202,5,20,CYPRUS,34.75,32.42,358,
1202,5,20,EGYPT,31.2,29.919,626,
1202,5,20,CYPRUS,34.67,33.03,303,
1222,5,,CYPRUS,34.75,32.42,60,
1222,5,,CYPRUS,34.67,33.03,19,
1231,3,11,TURKEY,41.019,28.965,31,
1241,5,22,JAPAN,35.283,139.567,18,
1241,5,22,JAPAN,35.309,139.55,18,
1257,10,9,JAPAN,35.2,139.5,0,
1257,10,9,JAPAN,39,141.7,199,
1257,10,9,JAPAN,40.195,141.79,591,
1257,10,9,JAPAN,40.11,141.82,583,
1265,8,11,TURKEY,40.633,27.617,20,
1273,3,,ALBANIA,41.3231,19.4414,22,
1293,5,27,JAPAN,35.309,139.55,18,
1303,8,8,GREECE,35.339,25.18,167,
1303,8,8,EGYPT,,,,
1303,8,8,ISRAEL,32.924,35.073,850,
1303,8,8,SYRIA,,,,
1303,8,8,GREECE,,,,
1303,8,8,GREECE,35.333,25.133,168,
1303,8,8,GREECE,36.167,28,302,
1303,8,8,EGYPT,31.2,29.919,481,
1303,8,8,LEBANON,,,,
1321,,,ITALY,45.439,12.327,5,
1329,6,28,ITALY,38,15,30,
1332,2,12,TURKEY,41.019,28.965,14,
1341,10,31,JAPAN,41.033,140.333,70,
1343,11,25,ITALY,40.83,14.25,,
1344,2,12,TURKEY,41.03,29,31,
1344,10,14,TURKEY,41.03,29,31,
1348,1,25,ITALY,45.5,12.5,158,
1360,11,2,JAPAN,34.667,135.433,158,
1360,11,22,JAPAN,34.2,135.2,128,
1360,11,22,JAPAN,34.083,136.2,76,
1361,8,3,JAPAN,34.7782,135.5951,205,
1361,8,3,JAPAN,34.7,135.5,195,
1361,8,3,JAPAN,34.06,134.6,124,
1361,8,3,JAPAN,34.183,134.617,136,
1361,8,3,JAPAN,33.767,134.6,93,
1361,8,3,JAPAN,34.65,135.5,189,
1365,1,2,ALGERIA,36.763,3.051,6,
1389,3,20,GREECE,38.368,26.136,15,
1402,6,,GREECE,38.35,22.25,30,
1403,11,16,,,,,
1403,12,,JAPAN,35.31,139.54,331,
1403,12,,JAPAN,33.5,135.8,69,
1407,8,23,NORTH KOREA,38.0406,125.7147,5,
1408,1,21,JAPAN,35.31,139.54,294,
1408,1,21,JAPAN,33.5,135.8,107,
1408,12,20,SYRIA,35.517,35.783,81,
1420,9,6,JAPAN,34.81,135.57,,
1433,11,7,JAPAN,35.75,140.8,151,
1434,8,6,SOUTH KOREA,37.4536,126.7317,65,
1448,9,19,JAPAN,36.7,137.23,124,
1456,12,4,ITALY,40.83,14.25,64,
1481,5,3,GREECE,36.2,28,22,3
1481,12,18,GREECE,36.2,28,22,
1494,7,1,GREECE,35.333,25.133,38,
1495,9,12,JAPAN,35.309,139.55,24,5
1495,9,12,JAPAN,35.283,139.567,21,
1498,7,9,JAPAN,,,,
1498,7,9,JAPAN,35.309,139.55,197,
1498,7,9,JAPAN,34.48,136.71,91,
1498,8,2,VENEZUELA,9.967,-62.267,8,
1498,9,20,JAPAN,34.0903,135.09,66,
1498,9,20,JAPAN,34.7667,138.7667,105,
1498,9,20,JAPAN,34.517,136.75,137,10
1498,9,20,JAPAN,35.309,139.55,197,
1498,9,20,JAPAN,34.867,138.333,99,
1498,9,20,JAPAN,34.683,137.6,89,
1498,9,20,JAPAN,33.1,139.767,184,
1500,,,USA,21.05,-156.85,,
1508,5,29,GREECE,,,,
1509,6,17,CHINA,31.2947,121.2983,30,
1509,6,17,CHINA,31.3683,121.4928,15,
1509,6,17,TAIWAN,24.33,120.567,803,
1509,9,14,TURKEY,41.019,28.965,77,
1510,9,21,JAPAN,34.7,135.5,14,
1510,10,10,JAPAN,34.6,138.2,56,
1511,3,26,ITALY,45.5,12.5,106,
1511,3,26,ITALY,45.65,13.77,66,
1512,10,,JAPAN,34.067,134.567,,
1519,9,24,SOUTH KOREA,36.3,126.5,45,
1520,4,4,JAPAN,33.5,135.8,48,
1530,9,1,VENEZUELA,10.627,-62.167,211,7.3
1530,9,1,VENEZUELA,10.817,-64.183,16,6
1530,9,1,VENEZUELA,10.483,-64.2,26,6
1531,1,26,PORTUGAL,38.68333,-9.31666,19,
1531,1,,CHINA,30.658,117.483,5,
1534,,,ISRAEL,,,,
1537,,,MEXICO,,,,
1538,9,26,ITALY,,,,
1539,11,24,HONDURAS,16.017,-86.033,264,
1541,12,25,VENEZUELA,10.817,-64.183,3,
1542,12,10,ITALY,37.2167,15.2167,18,
1543,,,VENEZUELA,10.483,-64.2,26,
1543,,,VENEZUELA,10.633,-64.3,23,
1545,2,7,JAPAN,34.8,139,0,
1546,1,14,ISRAEL,31.5,34.467,112,
1556,10,21,SOUTH KOREA,36.8741,126.2116,23,
1556,10,21,SOUTH KOREA,36.8797,126.6169,56,
1562,7,25,JAPAN,32.517,130.567,4,
1562,7,25,JAPAN,32.5,130.6,0,
1562,10,20,ITALY,38.1,15.65,267,
1562,10,28,CHILE,-36.733,-72.983,223,
1564,7,20,FRANCE,,,,
1570,2,8,CHILE,-36.733,-72.983,2,
1571,5,20,JAPAN,37.12,138.24,,
1571,11,1,NETHERLANDS,,,,
1575,12,16,CHILE,-39.8,-72.4,68,
1575,12,16,CHILE,-39.8,-73.233,3,
1575,12,16,CHILE,-36.733,-72.983,342,
1580,1,,NORTH KOREA,40.025,127.956,5,
1580,4,6,FRANCE,50.725,1.614,39,
1580,4,6,UK,51.283,1.333,29,
1580,4,6,UK,51.133,1.316,13,
1580,4,6,FRANCE,50.957,1.852,39,
1582,1,22,PERU,-16.623,-72.711,118,
1584,3,17,PERU,-13.469,-76.19,255,
1585,6,11,JAPAN,38.8,141.5,,2
1586,1,18,JAPAN,35.167,136.717,20,
1586,1,18,JAPAN,34.517,136.75,54,
1586,1,18,JAPAN,35.083,136.7,13,
1586,1,18,JAPAN,35.383,136.267,65,
1586,7,10,PERU,-8.112,-79.0288,488,
1586,7,10,PERU,-12.05,-77.15,66,24
1586,7,10,JAPAN,38.45,141.6,15175,2
1586,7,10,JAPAN,38.72,141.45,15174,2.5
1586,7,10,PERU,-12.1,-77.13,66,26
1586,7,10,JAPAN,,,,2.5
1587,7,9,PERU,-5.553,-80.82,45,
1589,3,21,JAPAN,34.83,138.58,35,
1589,3,21,JAPAN,34.7,137.13,98,
1589,3,21,JAPAN,34.967,138.383,25,
1590,,,PERU,-16.623,-72.711,67,
1591,7,26,AZORES (PORTUGAL),37.78,-25.5,0,
1594,,,ITALY,40.83,14.25,13,
1596,9,4,JAPAN,33.3,131.5,19,5
1596,9,4,JAPAN,33.2411,131.8722,17,
1597,9,10,JAPAN,33.3,131.5,9,2
1601,,,,,,,
1602,2,8,JAPAN,34.9,139.85,63,
1602,2,18,JAPAN,35.1,140.4,9,
1603,,,JAPAN,33.7,136.5,,2
1604,11,24,PERU,-16.623,-72.711,234,
1604,11,24,PERU,-17.639,-71.338,50,3.5
1604,11,24,CHILE,-36.733,-72.983,2106,5
1604,11,24,CHILE,-18.467,-70.333,92,
1604,11,24,PERU,-13.71,-76.22,731,
1604,11,24,PERU,-12.05,-77.15,930,
1604,12,29,CHINA,26.402,117.791,232,
1604,12,29,CHINA,24.914,118.586,93,
1605,2,3,JAPAN,34.6833,137.5667,157,
1605,2,3,JAPAN,33.533,134.3,81,6
1605,2,3,JAPAN,34.0333,135.1833,118,
1605,2,3,JAPAN,33.3833,134.2167,77,10
1605,2,3,JAPAN,33.367,133.283,156,
1605,2,3,JAPAN,33.5833,134.3667,82,5
1605,2,3,JAPAN,33.567,134.317,83,6
1605,2,3,JAPAN,33.433,135.75,93,
1605,2,3,JAPAN,33.2833,134.15,77,10
1605,2,3,JAPAN,33,131,364,
1605,2,3,JAPAN,34.7667,138.7667,143,
1605,2,3,JAPAN,34.75,136.75,213,
1605,2,3,JAPAN,34.455,136.9,182,
1605,2,3,JAPAN,34.9,139.85,199,
1605,2,3,JAPAN,35.14,139.6192,209,
1605,2,3,JAPAN,33.1,139.77,126,
1605,2,3,JAPAN,34.06,134.6,121,7
1606,1,23,JAPAN,33.1,139.77,135,
1607,1,30,UK,51.515,-3.055,25,
1607,1,30,UK,51.24,-3,36,
1607,1,30,UK,51.548,-2.945,18,
1607,1,30,UK,51.552,-2.85,12,
1607,1,30,UK,51.3,-3.01,31,
1607,1,30,UK,51.08,-4.06,106,
1607,1,30,UK,52.665,0.15,234,
1607,1,30,UK,52.755,0.4,254,
1607,1,30,UK,51.13,-3,46,
1607,1,30,UK,51.345,-2.98,26,
1607,1,30,UK,51.365,-2.96,23,
1607,1,30,UK,51.365,-2.854,18,
1607,1,30,UK,51.386,-2.82,15,
1607,1,30,UK,51.395,-2.86,16,7.74
1607,1,30,UK,51.44,-2.86,13,
1607,1,30,UK,51.5,-2.73,2,
1607,1,30,UK,51.265,-3.01,34,
1607,1,30,UK,51.28,-2.96,30,
1607,1,30,UK,51.32,-2.98,28,
1607,1,30,UK,51.325,-2.865,23,
1607,1,30,UK,51.15,-2.72,39,
1607,1,30,UK,51.2,-3,39,
1607,1,30,UK,51.54,-2.92,16,7.14
1608,7,1,INDONESIA,0.33,127.43,54,
1609,4,,GREECE,36.167,28,44,
1611,12,2,JAPAN,42.4681,140.8681,492,
1611,12,2,JAPAN,40.83,140.73,381,
1611,12,2,JAPAN,39.76,141.97,233,25
1611,12,2,JAPAN,39.467,141.95,226,25
1611,12,2,JAPAN,39.65,141.983,228,9
1611,12,2,JAPAN,39.117,141.817,232,9
1611,12,2,JAPAN,39.03,141.87,227,7
1611,12,2,JAPAN,38.13,140.87,330,7
1611,12,2,JAPAN,39.427,142.015,219,25
1611,12,2,JAPAN,37.817,140.983,334,6
1611,12,12,JAPAN,38.267,141.033,312,
1612,11,8,GREECE,35.5,25.5,0,
1613,8,25,ITALY,38.15,14.78,4,
1614,11,26,JAPAN,37.1,138.25,50,
1615,6,5,UKRAINE,45.033,35.383,17,
1615,9,16,CHILE,-18.48,-70.33,3,
1616,9,9,JAPAN,39.267,141.883,130,
1616,9,9,JAPAN,39.35,141.917,139,
1616,9,9,JAPAN,39.267,141.883,130,
1616,12,6,JAPAN,39.267,141.883,228,
1616,12,6,JAPAN,37.9667,138.35,548,
1616,12,6,JAPAN,39.267,141.883,228,
1616,12,6,JAPAN,39.35,141.917,226,
1619,5,1,JAPAN,,,,
1622,5,5,GREECE,37.79,20.9,23,
1624,3,19,ITALY,,,,
1627,7,30,ITALY,,,,
1627,9,14,JAPAN,35.11,140.1,2604,
1627,9,14,JAPAN,35.033,140.833,2650,
1627,9,14,PHILIPPINES,18.3,121.8,24,
1627,9,14,PHILIPPINES,18.52,120.7,96,
1629,3,9,GREECE,36.25,23,182,
1629,8,1,INDONESIA,-4.529,129.9,8,16
1629,8,1,INDONESIA,-4.529,129.898889,8,16
1629,8,1,INDONESIA,-4.55,129.867,7,4
1631,12,17,ITALY,40.83,14.25,15,
1633,3,1,JAPAN,35.2,139.5,27,
1633,3,1,JAPAN,35.089,139.069,17,
1633,3,1,JAPAN,34.8,139.06,46,
1633,5,14,CHILE,-41.7497,-73.7083,9,
1633,11,5,EGYPT,31.2,29.919,1084,
1633,11,5,GREECE,37.79,20.9,23,
1634,3,,CHINA,30.783,115.333,24,1
1636,7,31,SOUTH KOREA,35.1,129.04,1,
1636,9,30,GREECE,38.17,20.48,18,
1638,3,27,ITALY,,,,
1640,7,31,JAPAN,42.87,142.46,171,
1640,7,31,JAPAN,42.13,140.7,7,
1640,7,31,JAPAN,42.3,143.317,219,
1640,9,16,CHINA,23.5306,116.225,99,
1640,9,16,CHINA,23.533,116.333,90,
1640,9,16,CHINA,23.467,116.75,58,
1640,9,16,CHINA,,,,
1641,12,21,AZORES (PORTUGAL),38.68,-28.22,33,
1642,9,4,JAPAN,34.9,139.85,76,
1643,7,25,SOUTH KOREA,35.5,129.4,9,
1644,10,18,JAPAN,39.2167,139.9,27,
1645,11,30,PHILIPPINES,14.604,120.982,23,
1646,4,5,ITALY,43.55,10.31,1,
1646,4,5,TURKEY,41.019,28.965,3,
1647,5,7,PERU,-12.05,-77.15,449,
1647,5,7,CHILE,-18.467,-70.333,596,
1649,1,,ITALY,38.18,15.562,1,
1649,12,9,SOUTH KOREA,35.5,126.5,45,
1650,9,29,GREECE,,,,
1650,9,29,GREECE,36.73,25.27,38,16
1650,9,29,GREECE,37.33,26.5,142,30
1650,9,29,GREECE,37.33,26.5,142,30
1650,9,29,GREECE,,,,
1650,9,29,GREECE,35.5,25,107,
1650,9,29,GREECE,37.65,24.33,168,
